feature,block,period,mean_ic,median_ic,ic_std,ic_t_stat,ic_hit_rate,n_days,avg_names
abs_intraday_shock_lag1,B_lagged_liquidity_pressure,train,0.008211360680737351,0.006976366478179059,0.12224766087433711,3.195338320676179,0.5276182059213433,2263,999.9929328621909
abs_intraday_shock_lag1,B_lagged_liquidity_pressure,validation,0.015357610517310244,0.018980710498549856,0.14648437697382538,2.884564675221742,0.5535006605019815,757,999.9881109643329
abs_intraday_shock_lag1,B_lagged_liquidity_pressure,development_test,-0.005444708045316817,-0.008666316469735135,0.1538394554014488,-0.9705452391601557,0.4720744680851064,752,999.9574468085107
log_adv20_dollar_lag1,B_lagged_liquidity_pressure,train,0.011846300423778789,0.012056979011990047,0.13930707759187363,4.028292399153955,0.5418894830659536,2244,999.9929328621909
log_adv20_dollar_lag1,B_lagged_liquidity_pressure,validation,0.007202311803943506,0.011022107006815903,0.14996974583928607,1.3213449319653947,0.5310435931307794,757,999.9881109643329
log_adv20_dollar_lag1,B_lagged_liquidity_pressure,development_test,0.00204096016196407,0.006792279867395076,0.13550916068076324,0.41302352854409036,0.523936170212766,752,999.9574468085107
dsi_pit,C_borrow_short_pressure_pit,train,0.004493553853349455,0.0041875364185952075,0.09521654098240356,2.2450180001892996,0.5236411842686699,2263,999.9929328621909
dsi_pit,C_borrow_short_pressure_pit,validation,0.01020115760630016,0.01333007948467237,0.12925160498642604,2.1715080940402256,0.5336856010568032,757,999.9881109643329
dsi_pit,C_borrow_short_pressure_pit,development_test,-0.013444249039046506,-0.01611146814046685,0.18542959882029048,-1.9882290283721622,0.46808510638297873,752,999.9574468085107
dtcn_pit,C_borrow_short_pressure_pit,train,-0.00974497957369867,-0.01187511215340954,0.09216376475591785,-5.029942302473077,0.4414494034467521,2263,999.9929328621909
dtcn_pit,C_borrow_short_pressure_pit,validation,-0.0021109058350252392,-0.0009199231139397953,0.06729120214785675,-0.8630948260054612,0.4940554821664465,757,999.9881109643329
dtcn_pit,C_borrow_short_pressure_pit,development_test,-0.005418146191175712,-0.00834417848481334,0.08452369473091251,-1.7578473813494713,0.4627659574468085,752,999.9574468085107
ddtcn_pit,C_borrow_short_pressure_pit,train,-0.004154466751135176,-0.003718803464358593,0.051907759631417937,-3.807371719204913,0.4675209898365002,2263,999.9929328621909
ddtcn_pit,C_borrow_short_pressure_pit,validation,-0.0022368074929091765,-0.0034030630171177747,0.05341804021998569,-1.1520958118868396,0.47424042272126815,757,999.9881109643329
ddtcn_pit,C_borrow_short_pressure_pit,development_test,-0.005445619841512727,-0.0067493043541944665,0.05695379807712271,-2.6220052027397993,0.4587765957446808,752,999.9574468085107
htb_score_pct_pit,C_borrow_short_pressure_pit,train,0.0011443579744335685,-6.943224169376904e-05,0.08942295460061073,0.6087726909916238,0.49977905435262926,2263,999.9929328621909
htb_score_pct_pit,C_borrow_short_pressure_pit,validation,0.007780087750038188,0.005633652309532975,0.1085768470148951,1.9714928626687254,0.52443857331572,757,999.9881109643329
htb_score_pct_pit,C_borrow_short_pressure_pit,development_test,-0.012055438158594875,-0.01313686992685121,0.16150084807410295,-2.046996559024857,0.47606382978723405,752,999.9574468085107
borrow_bps_pa,C_borrow_short_pressure_pit,train,0.0018941504042553061,0.0019552062161775504,0.06089844109699753,1.4796212586304829,0.5139195757843571,2263,999.9929328621909
borrow_bps_pa,C_borrow_short_pressure_pit,validation,0.0041550645308357555,0.006605210052735647,0.06894254950890123,1.6582055833768254,0.5402906208718626,757,999.9881109643329
borrow_bps_pa,C_borrow_short_pressure_pit,development_test,-0.01016749592961778,-0.013252596777529973,0.11914320155188218,-2.3402036989610124,0.4587765957446808,752,999.9574468085107
log_market_cap_lag1,D_stable_controls_lagged,train,0.004468705641169771,0.006955832285244083,0.16199361422356448,1.312278852158872,0.5196641626159965,2263,999.9929328621909
log_market_cap_lag1,D_stable_controls_lagged,validation,-0.0010272483588239622,0.01158537322562938,0.19662655589629752,-0.14374118592308116,0.5191545574636723,757,999.9881109643329
log_market_cap_lag1,D_stable_controls_lagged,development_test,0.006583494462130443,0.015436677911830156,0.18246991167672877,0.9894050735549413,0.5398936170212766,752,999.9574468085107
adv20_dollar,D_stable_controls_lagged,train,0.011971908472193133,0.01292251851682933,0.13898671736489154,4.080388514757734,0.5423351158645277,2244,999.9929328621909
adv20_dollar,D_stable_controls_lagged,validation,0.007588328770743506,0.012899445583918692,0.1498412803110989,1.3933576403624666,0.5336856010568032,757,999.9881109643329
adv20_dollar,D_stable_controls_lagged,development_test,0.002093412859525302,0.006792279867395076,0.13552637308726473,0.42358443376042665,0.5226063829787234,752,999.9574468085107
